resource_id,resource_slug,resource_name,organization,url,short_description,horizontal_theme,horizontal_value,vertical_stage,vertical_value,identity_community,access_mode,geography,resource_type,eligibility_notes
R011,facing-financial-hardship,Facing Financial Hardship,USAGov,https://www.usa.gov/financial-hardship,"Federal benefits portal covering rent assistance, utility help, SNAP, TANF, and related supports.",Afford,26,Next,40,general Gen Z,online,national,government program;directory,Routes to benefit programs and application information
R012,fema-housing-assistance,FEMA Housing Assistance,FEMA,https://www.fema.gov/assistance/individual/housing,Disaster-related housing help for uninsured losses after a presidentially declared disaster.,Afford,24,Now,12,general Gen Z,online;phone;referral-based,national,government program,Only for eligible disaster survivors
R013,foster-youth-to-independence-fyi-vouchers,Foster Youth to Independence (FYI) Vouchers,HUD,https://www.hud.gov/hud-partners/public-indian-housing-fyi,Housing Choice Voucher initiative for young adults under 25 who are in or recently left foster care.,Afford,26,Grow,90,foster youth,referral-based;in-person,local,government program;voucher,Requires partnership between public housing agencies and child welfare agencies
R014,point-source-youth,Point Source Youth,Point Source Youth,https://www.pointsourceyouth.org/,"Youth homelessness organization focused on direct cash transfers, targeted housing assistance, and prevention.",Build,88,Grow,90,general Gen Z,online;referral-based,national,nonprofit;housing innovation,Programs run through partner communities
R015,lawhelp-org,LawHelp.org,LawHelp,https://www.lawhelp.org/,"Free legal information and legal help finder, including rent and eviction help by state.",Keep,42,Next,40,general Gen Z,online,national,legal aid;directory,Free civil legal information and referrals
R016,lsc-i-need-legal-help,LSC — I Need Legal Help,Legal Services Corporation,https://www.lsc.gov/about-lsc/what-legal-aid/i-need-legal-help,Locator for LSC-funded legal aid organizations serving low-income people in every state and territory.,Keep,42,Next,40,immigrant;survivor;general Gen Z,online,national,legal aid;directory,Income-based civil legal aid
R017,just-shelter-national-resources,Just Shelter — National Resources,Just Shelter,https://justshelter.org/national-resources/,"Curated links to organizations working on affordable housing preservation, eviction prevention, and homelessness.",Keep,42,Settle,66,general Gen Z,online,national,directory;nonprofit,Best for finding advocacy and service organizations
R018,national-tenants-bill-of-rights,National Tenants Bill of Rights,National Housing Law Project,https://www.nhlp.org/initiatives/the-national-tenants-bill-of-rights/,Framework outlining seven essential rights that establish a baseline of tenant protections.,Keep,43,Settle,67,general Gen Z,online,national,legal aid;advocacy,Advocacy and rights education rather than direct intake
R019,public-counsel-housing-justice,Public Counsel — Housing Justice,Public Counsel,https://publiccounsel.org/issues/housing-justice/,"Los Angeles County housing justice work covering tenant protections, eviction defense, and homelessness prevention.",Keep,41,Next,38,immigrant;survivor;general Gen Z,online;in-person;referral-based,local,legal aid;nonprofit,Primarily Los Angeles County
R020,schoolhouse-connection,SchoolHouse Connection,SchoolHouse Connection,https://schoolhouseconnection.org/,Advocacy and practical assistance to overcome homelessness from prenatal to postsecondary pathways.,Find,56,Settle,64,general Gen Z,online,national,nonprofit;student support,Strong fit for students experiencing homelessness
R021,youth-law-center-housing-resources,Youth Law Center — Housing Resources,Youth Law Center,https://www.ylc.org/resource/youth-law-center-housing-resources-2020-present/,Housing resources and advocacy materials focused on current and former foster youth.,Find,59,Grow,91,foster youth,online,national,nonprofit;advocacy,Especially useful for foster youth systems navigation
R022,true-colors-united,True Colors United,True Colors United,https://truecolorsunited.org/,Organization implementing solutions to youth homelessness centered on LGBTQ+ young people.,Belong,72,Settle,64,LGBTQ+,online,national,nonprofit;community org,Strong fit for LGBTQ+ youth homelessness ecosystem
R023,centerlink-directory,CenterLink Directory,CenterLink,https://www.lgbtqcenters.org/LGBTCenters,"Directory of LGBTQ+ community centers that can provide local support, referrals, and affirming space.",Belong,74,Settle,66,LGBTQ+,online;in-person,national,directory;community org,Search by state for local centers
R024,national-alliance-to-end-homelessness-youth-and-young-adults,National Alliance to End Homelessness — Youth and Young Adults,National Alliance to End Homelessness,https://endhomelessness.org/resource-by-category/youth-and-young-adults/,"Collection of youth and young adult homelessness policy resources, toolkits, and program information.",Build,91,Grow,91,general Gen Z,online,national,nonprofit;advocacy,Useful for ecosystem mapping and program referrals
R025,findhelp-org,findhelp.org,Findhelp,https://www.findhelp.org/,"Zip-code based search engine for nearby housing, money, food, legal, transit, and health support.",Find,58,Next,40,general Gen Z,online,national,directory,Search by ZIP code for local services
R026,gloria-casarez-residence,Gloria Casarez Residence,Project HOME,https://www.projecthome.org/gloria-casarez-residence,"LGBTQ-friendly supportive housing for young adults ages 18–23 who are homeless, at risk, or aging out of foster care.",Find,57,Settle,64,LGBTQ+;foster youth,in-person;referral-based,local,housing program;nonprofit,Philadelphia; ages 18–23 at entry
R027,washington-state-lgbtq-commission-housing,Washington State LGBTQ Commission — Housing,Washington State LGBTQ Commission,https://lgbtq.wa.gov/housing,"State housing resource page pointing to accepting shelters, anti-discrimination information, and community resources.",Find,59,Next,40,LGBTQ+;immigrant;survivor,online,local,government program;directory,Washington State resources
R028,covenant-house-california,Covenant House California,Covenant House California,https://covenanthousecalifornia.org/,"California youth shelter and support services for young people experiencing homelessness, ages 18–24.",Stay,9,Now,9,general Gen Z,in-person;immediate help,local,nonprofit;shelter,California; ages 18–24
R029,covenant-house-illinois,Covenant House Illinois,Covenant House Illinois,https://www.covenanthouseil.org/,Chicago-based housing and support services for young people ages 18–24 experiencing homelessness.,Stay,9,Now,9,general Gen Z,in-person;immediate help,local,nonprofit;shelter,Illinois; ages 18–24
R030,covenant-house-florida,Covenant House Florida,Covenant House Florida,https://www.covenanthousefl.org/,Florida youth shelter and continuum of services for young people ages 18–24 facing homelessness.,Stay,9,Now,9,general Gen Z,in-person;immediate help,local,nonprofit;shelter,Florida; ages 18–24
